	no match	probability was too low
сл.злат.о ястр	Сл.Злат. о ястр.	97
сл.илар	Сл.Илар.	100
сл.илар	Сл.Илар.	100
сл.илар.1	Сл.Илар.1	100
сл.илар.2	Сл.Илар.2	100
сл.илпол.об антихр	no match	probability was too low
сл.иппол.об антихр	Сл.Иппол. об антихр.	97
сл.иппол.об актихр	no match	probability was too low
сл.иппол.об ан тихр	Сл.Иппол. об антихр.	95
сл.иппол.об антихр	Сл.Иппол. об антихр.	97
сл.иппол.об антихр	Сл.Иппол. об антихр.	97
сл.иппол.об антихр.	Сл.Иппол. об антихр.	97
сл.иппол.об.антихр	Сл.Иппол. об антихр.	97
сл.иппол.обантихр	Сл.Иппол. об антихр.	94
сл.ис.сирина	Сл.Ис.Сирина	100
сл.ис.сирина	Сл.Ис.Сирина	100
сл.кир.тур	Сл.Кир.Тур.	100
сл.кир.мн	Сл.Кир.мн.	100
сл.мангаз	Сл.мангаз.	100
сл.похв.вас	Сл.похв.Вас. III	95
сл.сиб	Сл.Сиб.	100
сл.феост	Сл.Феост.	100
сл.шестака	Сл.Шестака	100
сл.шестака,	Сл.Шестака	100
сл.шестака	Сл.Шестака	100
сл.шрове	Сл.Шрове	100
сл.болг.дюв	no match	probability was too low
сл.и д	no match	probability was too low
сл.и д.i	no match	probability was too low
сл.и д.іі	no match	probability was too low
сл.и и д	no match	probability was too low
сл.и лоуч.против языч	no match	probability was too low
сл.и откр.св.ап	Сл. и откр.св.ап.	97
сл.и поуч.про тив языч	Сл.ипоуч.против языч.	95
сл.и поуч.против явыч	no match	probability was too low
сл.и поуч.против языч	Сл.ипоуч.против языч.	98
сл.и поуч.против языч	Сл.ипоуч.против языч.	98
сл.и поуч.против язычн	Сл.ипоуч.против языч.	95
сл.и поуч.против, языч	Сл.ипоуч.против языч.	95
сл.и поуч.против.языч	Сл.ипоуч.против языч.	98
сл.и поуч.против языч	Сл.ипоуч.против языч.	98
сл.и поуч.против язычников	no match	probability was too low
сл.и сказ.флор, соб	Сказ.Флор.соб.	95
сл.и сказ.флор.соб	Сл. и сказ.Флор.соб.	97
сл.и сказ.флор.соб	Сл. и сказ.Флор.соб.	97
сл.и.д	no match	probability was too low
сл.ид	no match	probability was too low
сл.ипоуч.против языч	Сл.ипоуч.против языч.	100
сл.к нев	Сл. к нев.	95
сл.к нев., строка	no match	probability was too low
сл.кратко	Сл.кратко	100
сл.крещ.влад	Сл.крещ.Влад.	100
сл.мангаз	Сл.мангаз.	100
сл.мг.дан.(жм.)	no match	probability was too low
сл.моск	no match	probability was too low
сл.мт.дан	Сл.мт.Дан.	100
сл.мт.дан.(жм)	Сл.мт.Дан. (Жм.)	96
сл.мт.дан.(жм.)	Сл.мт.Дан. (Жм.)	96
сл.мт.илар.2	Сл.Илар.2	95
сл.муж.ревн	Сл.муж.ревн.	100
сл.на победу	Сл. на победу	96
сл.о иг	Сл. о п.Иг.	95
сл.о п.иг	Сл. о п.Иг.	95
сл.о феодор.купц.сбор	no match	probability was too low
сл.о бражнике	Сл. о бражнике	96
сл.о и.иг	no match	probability was too low
сл.о куп.и сыне	Сл. о куп. и сыне	95
сл.о п.иг	Сл. о п.Иг.	95
сл.о п.мих	no match	probability was too low
сл.о п.иг	Сл. о п.Иг.	95
сл.о премудр	Сл.опремудр.	96
сл.о св.тр	Сл. о св.Тр.	95
сл.о ст	Сл. о ст.	95
сл.о трех мнисех	Сл. о трех мнисех	97
сл.о ц.мих	Сл. о ц.Мих.	95
сл.о ц.мих	Сл. о ц.Мих.	95
сл.о.и.иг	no match	probability was too low
сл.о.п.иг	Сл. о п.Иг.	95
сл.оп.иг	no match	probability was too low
сл.погиб.рус.зем	Сл.погиб.Рус.зем.	100
сл.погиб.рус.зем	Сл.погиб.Рус.зем.	100
сл.похв.бор.глеб	Сл.похв.Бор.Глеб.	100
сл.похв.вас	Сл.похв.Вас. III	95
сл.похв.вас.iii	Сл.похв.Вас. III	97
сл.похв.влад	Сл.похв.Влад.	100
сл.похв.с.шаховского	Сл.похв.С.Шаховского	100
сл.похв.серг.р	Сл.похв.Серг.Р.	100
сл.похв.серг.р	Сл.похв.Серг.Р.	100
сл.похв.серг.р.епиф	Сл.похв.Серг.Р.Епиф.	100
сл.похв.ф	no match	probability was too low
сл.похв.фимы	no match	probability was too low
сл.похв.фомы	Сл.похв.Фомы	100
сл.св.кир	Сл.св.Кир.	100
сл.св.пр	Сл.св.пр.	100
сл.сиб	Сл.Сиб.	100
сл.христол	Сл.христол.	100
сл.христол., 113	no match	probability was too low
сл.челов.незн.1	Сл.челов.незн.1	100
сл.челов.незн.2	Сл.челов.незн.2	100
сл.дан.зат	Сл.Дан.Зат.	100
сл.дан.зат	Сл.Дан.Зат.	100
сл.евф	Сл.Евф.	100
сл.евф.о мил	Сл.Евф. о мил.	96
сл.евф.о мил	Сл.Евф. о мил.	96
сл.епиф.о погреб	Сл.Епиф.о погреб.	100
сл.злат.о ястр	Сл.Злат. о ястр.	97
сл.илар	Сл.Илар.	100
сл.илар.1	Сл.Илар.1	100
сл.илар.2	Сл.Илар.2	100
сл.иппол.об антихр	Сл.Иппол. об антихр.	97
сл.иппол.об антихр	Сл.Иппол. об антихр.	97
сл.ис.сирина	Сл.Ис.Сирина	100
сл.ис.сирина	Сл.Ис.Сирина	100
сл.кир.мн	Сл.Кир.мн.	100
сл.крещ.влад	Сл.крещ.Влад.	100
сл.сиб	Сл.Сиб.	100
сл.шрове	Сл.Шрове	100
сл.и д	no match	probability was too low
сл.и поуч.против языч	Сл.ипоуч.против языч.	98
сл.крещ.влад	Сл.крещ.Влад.	100
сл.мангаз	Сл.мангаз.	100
сл.мт.дан	Сл.мт.Дан.	100
сл.мт.дан	Сл.мт.Дан.	100
сл.мт.дан.(жм.)	Сл.мт.Дан. (Жм.)	96
сл.мт.илар.2	Сл.Илар.2	95
сл.о п.иг	Сл. о п.Иг.	95
сл.поуч.против языч	Сл.ипоуч.против языч.	97
сл.похв.фомы	Сл.похв.Фомы	100
сл.похв.вас	Сл.похв.Вас. III	95
сл.похв.серг.р.епиф	Сл.похв.Серг.Р.Епиф.	100
сл.похв.фомы	Сл.похв.Фомы	100
сл.св.пр	Сл.св.пр.	100
сл.св.прор	no match	probability was too low
сл.филос	no match	probability was too low
сл.челов.незн.1	Сл.челов.незн.1	100
слря xi-xvii вв	no match	probability was too low
след, д	След.д.	95
словарь сл.о п.иг	Словарь Сл. о п.Иг. I	95
словарь сл.о п.иг	Словарь Сл. о п.Иг. I	95
словарь том	Словарь Том.	100
словарь.331	no match	probability was too low
служ	Служ.	100
служ.ант	Служ.Ант.	100
служ.вар л	Служ.Варл.	95
служ.варл	Служ.Варл.	100
служ.варл.л	Служ.Варл.	95
служ.кипр.п	no match	probability was too low
служ.серг	Служ.Серг.	100
служ.варл	Служ.Варл.	100
служ.серг	Служ.Серг.	100
служба бор.глеб	no match	probability was too low
служба кл.рим	Служба Кл.Рим.	100
службы бор.глеб	Службы Бор.Глеб.	100
см.пол.бес	Сим.Пол.Бес.	95
смерть авраама	Смерть Авраама	100
смета денежн.дох	Смета денежн.дох.	100
сметы воен.сил	Сметы воен.сил	100
сметы воен.сил	Сметы воен.сил	100
смирен чл҃к, ириникос анфропос.речь тонкосл.греч	no match	probability was too low
смол гр	Смол.гр.	100
смол, а.1	Смол.а.1	95
смол, гр	Смол.гр.	95
смол.а	Смол.а.	100
смол.а.1	Смол.а.1	100
смол.а.2	Смол.а.2	100
смол.а.3	Смол.а.3	100
смол.гр	Смол.гр.	100
смол.крестопр.кн	Смол.крестопр.кн.	100
смол.словарь	Смол.словарь	100
смол.а.1	Смол.а.1	100
смол.гр	Смол.гр.	100
смол.словарь	Смол.словарь	100
смотрицкий.грам	Смотрицкий.Грам.	100
соб.ул.вас.шуйск	Соб.ул.ц.Вас.Шуйск.	95
соб.ул.шуйск	no match	probability was too low
соб.ул.ц.вас.шуйск	Соб.ул.ц.Вас.Шуйск.	100
соб.ул.ц.вас.шуйск	Соб.ул.ц.Вас.Шуйск.	100
собол.кн.енисейск	no match	probability was too low
соболевский	Соболевский	100
соболевский.из истории	no match	probability was too low
соборн	no match	probability was too low
собр.гамеля	Собр.Гамеля	100
собр.гамеля	Собр.Гамеля	100
собр.на лихоимцев	Собр. на лихоимцев	97
соверш.кучер	Соверш.кучер	100
совещ.бож.д	Совещ.бож.д.1	95
совещ.бож.д	Совещ.бож.д.1	95
соликам.ркп	Соликам.ркп.	100
солов, лет	Солов.лет.	95
солотч.м	no match	probability was too low
составы	Составы	100
сотв.мира	Авв.Сотв.мира	95
сотн	no match	probability was too low
сотн.iii	Сотн.Ш. III	95
сотн.ііі	no match	probability was too low
сотн.ш	Сотн.Ш.	100
сотн.ш	Сотн.Ш.	100
сотн.ш	Сотн.Ш.	100
сото, мира	no match	probability was too low
соф.1 лет.2	no match	probability was too low
соф.i лет.1	Соф. I лет.1	96
соф.i лет	Соф. I лет.1	95
соф.i лет.1	Соф. I лет.1	96
соф.i лет.2	Соф. I лет.2	96
соф.i лет.1	Соф. I лет.1	96
соф.i лет.2	Соф. I лет.2	96
соф.i лет.2	Соф. I лет.2	96
соф.i лет.]	Соф. I лет.1	95
соф.i лет1	no match	probability was too low
соф.i лет2	no match	probability was too low
соф.ii лет	Соф. II	95
соф.ii лет	Соф. II	95
соф.ii.лет	Соф. II	95
соф.і лет.1	no match	probability was too low
соф.і лет.2	no match	probability was too low
соф.іі лет	no match	probability was too low
соф.библ	Соф.библ. I	95
соф.врем	Соф.врем. I	95
соф.лет	no match	probability was too low
соф.i лет	Соф. I лет.1	95
соф.i лет.1	Соф. I лет.1	96
соф.i лет.2	Соф. I лет.2	96
соф.ii лет	Соф. II	95
соф.і лет	no match	probability was too low
соф.і лет.1	no match	probability was too low
соф.і лет.2	no match	probability was too low
соф.іі лет	no match	probability was too low
соч	no match	probability was too low
сп.похв.фомы	no match	probability was too low
спа фарий.о сивиллах	Спафарий.О сивиллах	97
спафарий, китай	Спафарий.Китай	97
спафарий.арифмология	no match	probability was too low
спафарий.китай	Спафарий.Китай	100
спафарий.китай,	Спафарий.Китай	100
спафарий.китай	Спафарий.Китай	100
спафарий.кн.избр.вкратце	Спафарий.Кн.избр.вкратце	100
спафарий.нов.дан	Спафарий.Нов.дан.	100
спафарий.нов.дан	Спафарий.Нов.дан.	100
спафарий.о сивиллах	Спафарий.О сивиллах	100
спафарий.о семи худ	Спафарий.О семи худ.	100
спафарий.о сивиллах	Спафарий.О сивиллах	100
спафарий.о сивиллах1	Спафарий. О сивиллах1	98
спафарий.сибирь	Спафарий.Сибирь	100
спафарий.сибирь	Спафарий.Сибирь	100
спафарий.китай	Спафарий.Китай	100
спафарий.нов.дан	Спафарий.Нов.дан.	100
спафарий· китай	Спафарий.Китай	97
спис	no match	probability was too low
спис.сиб	Спис.Сиб.	100
спис.единогл.аг	Спис.единогл.Аг.	100
спис.сиб	Спис.Сиб.	100
спис.единогл.аг	Спис.единогл.Аг.	100
срз	no match	probability was too low
срз.ііі	no match	probability was too low
ст.ш	Ст.Ш.	100
ст.ш	Ст.Ш.	100
ст.о см	Ст. о см.	95
ст.о сокол.охоте	Ст. о сокол.охоте	97
ст.сп.вражского	Ст.сп.Вражского	100
ст.сп.грибова	Ст.сп.Грибова	100
ст.сп.милосл	Ст.сп.Милосл.	100
ст.сп.новосильцева	Ст.сп.Новосильцева	100
ст.сп.потемкина	Ст.сп.Потемкина	100
ст.сп.скобельцына	no match	probability was too low
ст.сп.флетчера	Ст.сп.Флетчера	100
ст.сп.рос.по слов	Ст.сп.рос.послов	97
ст.сп.рос.послов	Ст.сп.рос.послов	100
ст.сп.рос.послов 1	Ст.сп.рос.послов1	97
ст.сп.рос.послов 2	Ст.сп.рос.послов2	97
ст.сп.рос.послов	Ст.сп.рос.послов	100
ст.сп.рос.послов1	Ст.сп.рос.послов1	100
ст.сп.рос.послов2	Ст.сп.рос.послов2	100
ст.сп.флетчера	Ст.сп.Флетчера	100
ст.сп.милосл	Ст.сп.Милосл.	100
ст.сп.рос.послов	Ст.сп.рос.послов	100
стар.муж	Стар.муж.	100
стар.муж.1	Стар.муж.	95
стар.муж.2	Стар.муж.	95
статьи одоевск	Статьи Одоевск.	100
статьи шерем	no match	probability was too low
степанов.кн.ключей	no match	probability was too low
стеф.новг.п	no match	probability was too low
стефанит	Стефанит	100
стефанит1	Стефанит	94
стих похв.пуст	Стих Похв.пуст.	100
стих чудн.цар	Стих Чудн.цар.	100
стих о жизни патр.певчих	Стих о жизни патр.певчих	100
стих о жизни патр.певчих	Стих о жизни патр.певчих	100
стих	no match	probability was too low
стих.чудн.цар	Стих Чудн.цар.	100
стих.о нарб	Стих.о Нарб.	100
стих.о дух	Стих о дух.	100
стих.о жизни патр.певчих	Стих о жизни патр.певчих	100
стих.о жизни патр.певчих	Стих о жизни патр.певчих	100
стих.похв.пуст	Стих Похв.пуст.	100
стихи рарь	Стихирарь	95
стихи справщ.сав	Стихи справщ.Савв.	97
стихи справщ.савв	Стихи справщ.Савв.	100
стихир	no match	probability was too low
стихир.xii в.ак.н	no match	probability was too low
стихир.ак	no match	probability was too low
стихир.новг.д	no match	probability was too low
стихирарь	Стихирарь	100
стихирарь (обол.)	Стихирарь(Обол.)	97
стихирарь (рум.)	no match	probability was too low
стихирарь (тр.-серг.)	Стихирарь(Тр.-Серг.)	97
стихирарь (ф.)	Стихирарь	95
стихирарь (хил.)	Стихирарь (Хил.)	100
стихирарь1	Стихирарь1	100
сто глав	no match	probability was too low
стоглав	Стоглав	100
стоглав	Стоглав	100
стоглав1	Стоглав1	100
стол.б шавк	Столб.Шавк.	95
столб.арх.оруж.пал	Столб.Арх.Оруж.пал.	100
столб.белгор.ст	Столб.Белгор.ст.	100
столб.ик	Столб.ик.	100
столб.оруж.пал	Столб.Арх.Оруж.пал.	95
столб.печ.пр	Столб.Печ.пр.	100
столб.шавк	Столб.Шавк.	100
столб.шадр	Столб.Шадр.	100
столб.ик	Столб.ик.	100
столб.печ.пр	Столб.Печ.пр.	100
столб.шавк	Столб.Шавк.	100
столб.ик	Столб.ик.	100
столов, кн.патр.фил	Столов.кн.патр.Фил. I	95
столов, обих.волокол.м	Столов.обих.Волокол.м.	98
столов, обих.новоспасск.м	Столов.обих. Новоспасск.м.	96
столов.обих.волокол.м	Столов.обих.Волокол.м.	100
столов.кн.патр.фил	Столов.кн.патр.Фил. I	95
столов.кн.патр.фил.і	no match	probability was too low
столов.обих.волокол.м	Столов.обих.Волокол.м.	100
столов.обих.новоспасск м	Столов.обих. Новоспасск.м.	98
столов.обих.новоспасск.м	Столов.обих. Новоспасск.м.	98
столов.обих.новоспасск.м., 113	Столов.обих. Новоспасск.м.	95
столов.обоих.волокол.м	Столов.обих.Волокол.м.	98
столов.росп	Столов.росп.	100
столов.обих.новоспасск.м	Столов.обих. Новоспасск.м.	98
столов.обих.волокол.м	Столов.обих.Волокол.м.	100
столов.обих.новоспасск.м	Столов.обих. Новоспасск.м.	98
стр.п.кн	Кн.Стр.	95
строг, гр	Дм.Строг.гр.	95
строг, столб	Строг.столб.	96
строг.столб	Строг.столб.	100
строг.гр	Строг.гр.	100
строг.дог	Строг.дог.	100
строг.док	Строг.док.	100
строг.лет	Строг.лет.	100
строг.п.кн	Строг.п.кн.	100
строг.столб	Строг.столб.	100
строг.док	Строг.док.	100
строг.лет	Строг.лет.	100
строг.п.кн	Строг.п.кн.	100
строг.столб	Строг.столб.	100
строг.столб.кабала	no match	probability was too low
строгова	no match	probability was too low
суб мат	Суб.Мат. I	95
суб	no match	probability was too low
суб.maт	no match	probability was too low
суб.мат	Суб.Мат. I	95
суб.мат.i	Суб.Мат. I	95
суб.мат.iii	Суб.Мат. III	96
суб.мат.viii	Суб.Мат. VIII	96
суб.мат.	Суб.Мат. I	95
суб.мат;	Суб.Мат. I	95
суб.ѣат	no match	probability was too low
суб.мат	Суб.Мат. I	95
суб.мат.ііі	no match	probability was too low
суд ив	no match	probability was too low
суд	no match	probability was too low
суд.viii.21	no match	probability was too low
суд.xi, 18	no match	probability was too low
суд.xv.8	no match	probability was too low
суд.ив	no match	probability was too low
суд.ив	no match	probability was too low
суд.ив.iii	Суд.Ив. III	95
суд.ив.iv	Суд.Ив. IV	95
суд.ив.іѵ	no match	probability was too low
суд.ив.фед.(пр.)	Суд.Фед.Ив.	95
суд.ив.іѵ	no match	probability was too low
суд.мат	no match	probability was too low
суд.фед.ив (пр.)	Суд.Фед.Ив. (пр.)	97
суд.фед.ив	Суд.Фед.Ив.	100
суд.фед.ив.(кр.)	Суд.Фед.Ив. (кр.)	97
суд.фед.ив.(пр.)	Суд.Фед.Ив. (пр.)	97
суд.фед.ив.(кр.)	Суд.Фед.Ив. (кр.)	97
суд.фед.ив.(пр.)	Суд.Фед.Ив. (пр.)	97
суд.д.чуваш	Суд.д.чуваш.	100
суд.ив.iii	Суд.Ив. III	95
суд.ив.iv	Суд.Ив. IV	95
суд.ив.iii	Суд.Ив. III	95
суд.ив.iv	Суд.Ив. IV	95
суд.фед.ив.(кр.)	Суд.Фед.Ив. (кр.)	97
суд.фед.ив.(пр.)	Суд.Фед.Ив. (пр.)	97
суд.фед.ив.(пр.)	Суд.Фед.Ив. (пр.)	97
супр.р	no match	probability was too low
сух.проскинитарий	Арс.Сух. Проскинитарий	95
сущую з гущею воздуряем пропоицу.праздник каб	no match	probability was too low
счет.д.бельск	Счет.д.Бельск.	100
счет.д.вельск	no match	probability was too low
счет.д.олф.с гол	Счет.д.Олф. с Гол.	97
счет.д.олф.с зас	Счет.д.Олф. с Зас.	97
счет.д.пушк	Счет.д.Пушк.	100
счет.д.троекур	Счет.д.Троекур.	100
счет.д.шерб	no match	probability was too low
счет.д.щерб	Счет.д.Щерб.	100
счет.д.алф.с зас	no match	probability was too low
счет.д.пушк	Счет.д.Пушк.	100
сыск.д	Сыск.д.	100
сѣдмидѣнное.нем.-рус.словарь1	no match	probability was too low
тако мирствуетъ гнѣвъ ихъ.д.патр.никона	no match	probability was too low
такт	no match	probability was too low
там .кн.тихв.м	Там.кн.Тихв.м.	96
там же	no match	probability was too low
там же	no match	probability was too low
там кн	no match	probability was too low
там кн.смол	Там.кн.Смол. I	95
там кн.тихв.м	Там.кн.Тихв.м.	100
там кн.тихв.м.	Там.кн.Тихв.м.	100
там кн.южн	Там.кн.южн.	100
там кн.южновеликорус	no match	probability was too low
там, кн	Там.кн. I	95
там.д.сиб	Там.д.Сиб.	100
там.кн	no match	probability was too low
там.кн.вяз	Там.кн.Вяз.	100
там.кн.моск	Там.кн.Моск. I	95
там.кн.смол	Там.кн.Смол. I	95
там.кн.тихв, м	Там.кн.Тихв.м.	96
там.кн.тихв.к	no match	probability was too low
там.кн.тихв.м	Там.кн.Тихв.м.	100
там.кн.тихв.м	Там.кн.Тихв.м.	100
там.кн.южн	Там.кн.южн.	100
там.кн.южновеликорус	no match	probability was too low
там.кн.вяз	Там.кн.Вяз.	100
там.кн.тихв.м	Там.кн.Тихв.м.	100
там.кн.южн	Там.кн.южн.	100
там.кн.южновеликорус	no match	probability was too low
там.кн	no match	probability was too low
там.кн.моск	Там.кн.Моск. I	95
там.кн.тихв.м	Там.кн.Тихв.м.	100
там.кн.тихв.м	Там.кн.Тихв.м.	100
там.кн.южновеликорус	no match	probability was too low
там.кн.моск	Там.кн.Моск. I	95
там.кн.тихв.м	Там.кн.Тихв.м.	100
там.кн.южн	Там.кн.южн.	100
там.кн.южновеликорус	no match	probability was too low
тамб.арх	no match	probability was too low
тамб.арх	no match	probability was too low
тамб.арх	no match	probability was too low
твер.лет	Твер.лет.	100
твер.письм	Твер.письм.	100
твер.лет	Твер.лет.	100
тип.лет	Тип.лет.	100
тип.лет	Тип.лет.	100
тмутар.кам	Тмутар.кам.	100
то наша скаска.арх.толстого	no match	probability was too low
тов.цен.росп	no match	probability was too low
тов.цен.рост	no match	probability was too low
тов.цен.росп	no match	probability was too low
толк, лит.германа	Толк.лит.Германа	97
толк, речем5	Толк.речем5	96
толк.лит.германа	Толк.лит.Германа	100
толк.псалт	Псалт.толк. (Т.)	95
толк.псалт.афан.алекс	no match	probability was too low
толк.псалт.евг.д	no match	probability was too low
толк.еванг	no match	probability was too low
толк.ис	no match	probability was too low
толк.лит.гемана	Толк.лит.Германа	97
толк.лит.герм	no match	probability was too low
толк.лит.германа	Толк.лит.Германа	100
толк.прор	no match	probability was too low
толк.псалт	Псалт.толк. (Т.)	95
толк.псалт.феодорит	Псалт.толк.Феодорит.	95
толк.речей.5	no match	probability was too low
толк.речей5	no match	probability was too low
толк.речем	Толк.речем	100
толк.речем 5	Толк.речем5	96
толк.речем 6	Толк.речем	95
толк.речем.5	Толк.речем5	96
толк.речем3	Толк.речем3	100
толк.речем5	Толк.речем5	100
толк.апост.пр	Апост.толк.	95
толк.лит.германа	Толк.лит.Германа	100
толк.лит.германа	Толк.лит.Германа	100
толкование: диякониса	no match	probability was too low
толстого	no match	probability was too low
торг, кн	Торг.кн.	95
торг, кн.(б.)	Торг.кн. (Б.)	95
торг.кн	Торг.кн.	100
торг.кн.(б.)	Торг.кн.	95
торг.кн.(с)	Торг.кн.	95
торг.кн.(с.)	Торг.кн.	95
торг.кн.(савв.)	no match	probability was too low
торг.кн., 11	no match	probability was too low
торг.кн.1	Торг.кн.1	100
торг.устав мор	Торг.устав мор.	100
торг.кн	Торг.кн.	100
торж	Торж.	100
торж.1	Торж.1	100
тот же текст	no match	probability was too low
травний любч	no match	probability was too low
травник	Травник	100
травник бутурлина	no match	probability was too low
травник дюбч	no match	probability was too low
травник люби	no match	probability was too low
травник любч	Травник Любч.	100
травник любч.	Травник Любч.	100
травник любч.1	Травник Любч.	95
травник любч.2	Травник Любч.2	100
травник любя	no match	probability was too low
травник.любч	Травник Любч.	100
травникъ любч	Травник Любч.	96
травниц любч	no match	probability was too low
традник любч	no match	probability was too low
требник	Требник	100
требник	Требник	100
треф	Треф.	100
трж	no match	probability was too low
трж.вост	no match	probability was too low
трж.рум	no match	probability was too low
триод	no match	probability was too low
триод.цвет	no match	probability was too low
триод.цветн.воскр	no match	probability was too low
триод.пост	no match	probability was too low
триод.цвет	no match	probability was too low
триод.цветн	no match	probability was too low
триод.цвѣт	no match	probability was too low
триод.цвет	no match	probability was too low
триодь моис.к	Триодь Моис.К. I	95
триодь пост	Триодь постн.	96
триодь постн	Триодь постн.	100
триодь цв	no match	probability was too low
триодь цветн	Триодь цветн.1	95
триодь цветн.1	Триодь цветн.1	100
трои вачеги суконные.д.натр.никона	no match	probability was too low
троиц.л	no match	probability was too low
троиц.лет.кар	no match	probability was too low
троиц.сбор	no match	probability was too low
троиц.сп	no match	probability was too low
трул	no match	probability was too low
тур	no match	probability was too low
тур.(к.)	no match	probability was too low
тур.уставы	Тур.уставы	100
турц	Турц.	100
у посника иванова лошаденко.якут.а	no match	probability was too low
у руслан	no match	probability was too low
у л.ал	no match	probability was too low
увар.лет	no match	probability was too low
увясленъ.митроносиц.лекс.полоно-словен	no match	probability was too low
уж.измена	Уж.измена	100
уж.измена, 11	Уж.измена	95
указ о промысл	Указ о промысл.	100
указ о хлебн.весу	Указ о хлебн.весу	100
указ, о промысл	Указ о промысл.	97
указ, о хлебн.весу	Указ о хлебн.весу	97
указ.кн	Указ.кн.	100
указ.кн.суд.пр	Указ.кн.Суд.пр.	100
указ.о промысл	Указ о промысл.	100
указ.о хлебн.весу	Указ о хлебн.весу	100
указ.кн	Указ.кн.	100
указец арс.высокого	Указец Арс.Высокого.	100
указы петра	Указы Петра	100
указы о разн.ст	Указы о разн.ст.	100
ул.ал	Ул.Ал.	100
ул.ал.1	Ул.Ал.1	100
ул.ал.2	Ул.Ал.	95
ул.ал	Ул.Ал.	100
ул.ал.2	Ул.Ал.	95
унбегаун	no match	probability was too low
унд	no match	probability was too low
унж.кр	Унж.кр.	100
упыр	no match	probability was too low
упыр.л	no match	probability was too low
уруслан	Уруслан	100
уруслан, 110	no match	probability was too low
уруслан	Уруслан	100
урядник	Урядник	100
урядник, 110	no match	probability was too low
урядник	Урядник	100
урядникъ	no match	probability was too low
усб.сб	no match	probability was too low
усп сб	Усп.сб.	100
усп.сб	Усп.сб.	100
усп.об	no match	probability was too low
усп.с б	no match	probability was too low
усп.сб	Усп.сб.	100
усп.сб	Усп.сб.	100
усп.сб., 113	no match	probability was too low
усп.сб.	Усп.сб.	100
усп.сп	no match	probability was too low
усп.сб	Усп.сб.	100
уст	Уст.	100
уст.корм	Уст.корм.	100
уст.крм	no match	probability was too low
уст.крмч	no match	probability was too low
уст.корм	Уст.корм.	100
уст.корм.ио.схол	no match	probability was too low
уст.крм	no match	probability was too low
уст.крм.апл	no match	probability was too low
уст.крм.ио.схол	no match	probability was too low
уст.крм.ио.схол.вас.вел	no match	probability was too low
уст.крм.ио.схол.вас.вел	no match	probability was too low
уст.крм.ио.схол.ник	no match	probability was too low
уст.крм.ио.схол.халк	no match	probability was too low
уст.мн	no match	probability was too low
уст.мон	no match	probability was too low
уст.мон.д	no match	probability was too low
уст.н	no match	probability was too low
уст.п	Уст.П.	100
уст.п.1193 г	no match	probability was too low
уст.ратных д.i	no match	probability was too low
уст.корм	Уст.корм.	100
уст.корм.(м.)	Уст.корм. (М.)	96
уст.мон	no match	probability was too low
устав вейде	Устав Вейде	100
устав св.ольг	no match	probability was too low
устав студ	Устав Студ.	100
устав студ.1	Устав Студ.1	100
устав студ.2	Устав Студ.	95
устав студ.3	Устав Студ.3	100
устав тип	Устав Тип.	100
устав рантых д	no match	probability was too low
устав ратн.строения	no match	probability was too low
устав ратных д	Устав ратных д. I	95
устав ратных д.i	Устав ратных д. I	97
устав ратных, д	Устав ратных д. I	95
устав ратных.д	Устав ратных д. I	95
устав ратныхъ д	no match	probability was too low
устав, ратных д	Устав ратных д. I	95
устав.ратных д	Устав ратных д. I	95
уставн.гр.натр.иова	Уставн.гр.патр.Иова	95
уставн.гр.патр.иова	Уставн.гр.патр.Иова	100
устюж.а	Устюж.а.	100
устюж.корм	no match	probability was too low
учен, ратн.строения	Учен.ратн.строения	97
учен.ратн.строения	Учен.ратн.строения	100
учен.ратн.строения, 11	Учен.ратн.строения	95
учен.ратн.строения	Учен.ратн.строения	100
учен.ратного строения	no match	probability was too low
учен.ратн.строения	Учен.ратн.строения	100
учен.ратн.строения	Учен.ратн.строения	100
ф.прокопович.сл	Ф.Прокопович.Сл.	100
фацеции	Фацеции	100
фед	no match	probability was too low
фед.ал	no match	probability was too low
фед.печ.(ер.)	no match	probability was too low
федор иерусалимлянин	Федор Иерусалимлянин	100
феод.печ	Феод.Печ.	100
феод.печ.(ер.)	Феод.Печ. (Ер.)	96
феод.печ.(ер.)	Феод.Печ. (Ер.)	96
феод.ст.ост	no match	probability was too low
феод.студ	Феод.Студ.	100
феод.студ.ост	Феод.Студ.	95
феод.студ.ост	Феод.Студ.	95
феод.студ.ост.(варс.корм.)	no match	probability was too low
феод.студ.поуч	Феод.Студ.Поуч.	100
феод.студ.епит	no match	probability was too low
феод.печ	Феод.Печ.	100
феод.печ.(ер.)	Феод.Печ. (Ер.)	96
феод.печ.(ер.)	Феод.Печ. (Ер.)	96
феод.студ	Феод.Студ.	100
феодорит	no match	probability was too low
феодрт.о никт	no match	probability was too low
феоф.толк.ев	Феоф.Толк.ев.	100
феоф.толк.еп	no match	probability was too low
фив	no match	probability was too low
физ	Физ.	100
филип.ii, 10	no match	probability was too low
филипова кря не секал.пам.ряз	no match	probability was too low
фирсов	Г.Фирсов	95
фита ѳ ...спускная ѯѳ˭ѯ.певч.азб	no match	probability was too low
флавии.полон.иерус	no match	probability was too low
флавий полон.иерус	Флавий. Полон.Иерус.1	95
флавий, полон.иерус	Флавий. Полон.Иерус.1	95
