	no match	probability was too low
Арх.Он. (Ар.)	Арх.Он. (Ар.)	100
Арх.Стр.	Арх.Стр.I	95
Арх.Толстого	Арх.Толстого	100
Арх.бум. Петра	Арх.бум.Петра, I	95
Арх.бум.Петра	Арх.бум.Петра, I	95
Арх.ев.	no match	probability was too low
Арх.обл.слов. Подв.	no match	probability was too low
Арх.сб.	no match	probability was too low
Арханг. ев.	Арханг.ев.	95
Арханг. лет.	Арханг.лет.	95
Арханг. лет. (кон.)	Арханг.лет. (кон.)	97
Арханг.ев.	Арханг.ев.	100
Арханг.лет.	Арханг.лет.	100
Арциховский, Древнерус. миниатюры	no match	probability was too low
Астрax. а.	no match	probability was too low
Астрах, а.	Астрах.а.	95
Астрах. а.	Астрах.а.	95
Астрах. а. (Ст.)	Астрах.а. (Ст.)	96
Астрах. бунт Раз.	Астрах.бунт Раз.	97
Астрах. д.	no match	probability was too low
Астрах.а.	Астрах.а.	100
Афан. Алекс. Мин. чет. июн.	no match	probability was too low
Афан. Алекс. Сл. на ариан	Афан.Алекс.Сл. на ариан	96
Афан. Алекс. Сл. на ариан.1	Афан.Алекс.Сл. на ариан	95
Афан. Алекс. Сл. на ариан1 	Афан.Алекс. Сл.на ариан1	96
Афан. Алекс. сл. на ариан	Афан.Алекс.Сл. на ариан	96
Афан. Алекс., сл. на ариан	Афан.Алекс.Сл. на ариан	95
Афан. Алекс.Сл. на ариан	Афан.Алекс.Сл. на ариан	98
Афан.Алекс.Сл. на ариан	Афан.Алекс.Сл. на ариан	100
Афан.Алекс.сл. на ариан	Афан.Алекс.Сл. на ариан	100
Афон. гора	Дам.Афон.гора	95
Баг. Мат.	Баг.Мат.	95
Баг.Мат.	Баг.Мат.	100
Балаш.	no match	probability was too low
Барс.	no match	probability was too low
Барс. Словарь	Барс.Словарь	96
Басс. Патр.1	no match	probability was too low
Баязет	Баязет	100
Бел. дв.)	no match	probability was too low
Белозер. переп.	Белозер.переп.	96
Белозер.переп.	Белозер.переп.	100
Белокур.	Белокур.	100
Белокур. I	Белокур. I	100
Белокур.1	Белокур.	95
Бер.	no match	probability was too low
Берест. гр.	Берест.гр. I	95
Берест.гр.	Берест.гр. I	95
Бес. Вал.	no match	probability was too low
Беседа	no match	probability was too low
Беседа Вал.	Беседа Вал.	100
Беседа Вал.1	Беседа Вал.1	100
Беседа Вал.2	Беседа Вал.2	100
Беседа Вал2.	Беседа Вал.2	96
Беседа отца с сыном	Беседа отца с сыном	100
Беседа отца с сыном.	Беседа отца с сыном	100
Беседа отца с сыном1	Беседа отца с сыном1	100
Беседа. Вал.	Беседа Вал.	95
Беседа. Вал.1	Беседа Вал.1	96
Беседа. Вал.2	Беседа Вал.2	96
Библ.	Библ.	100
Библ. (Рум.)	Библ. (Рум.)	100
Библ. 1499 г	Библ.Генн.1499 г.	95
Библ. 1499 г.	Библ.Генн.1499 г.	95
Библ. Генн.	Библ.Генн.1	95
Библ. Генн. 1499	Библ.Генн.1499 г.	95
Библ. Генн. 1499 г.	Библ.Генн.1499 г.	95
Библ. Генн.)	Библ.Генн.1	95
Библ. Генн..	Библ.Генн.1	95
Библ. Генн.1	Библ.Генн.1	96
Библ. Генн.1499 г.	Библ.Генн.1499 г.	97
Библ. Генн.2	no match	probability was too low
Библ. Остр.	Библ.Остр.	95
Библ. Ренн.	no match	probability was too low
Библ. кн.	Библ.кн.	95
Библ. кн.1	Библ.кн.	95
Библ. кн.2	Библ.кн.	95
Библ. по сп. XV в.	no match	probability was too low
Библ.(Рум.)	Библ. (Рум.)	95
Библ.1	Библ.1	100
Библ.кн.1	Библ.кн.1	100
Библ.кн.2	Библ.кн.2	100
Блк. Быт. Синод. р.	no match	probability was too low
Бова	Бова	100
Бова1	no match	probability was too low
Бог.1	no match	probability was too low
Боголюбець же притужаше блаженному.	no match	probability was too low
Болон. псалт.	no match	probability was too low
Бор. Год.	Гр.Бор.Год.	95
Боргсдорф	Боргсдорф	100
Бояр. кн.	Бояр.кн.	95
Бояр.кн.	Бояр.кн.	100
Браун. Артил.	Браун.Артил.	96
Бринк. Артил.	Бринк.Артил.	96
Бринк. Опис. артил.	no match	probability was too low
Брун. Толк. Псалт.	Брун.Толк.Псалт.	95
Брун. Толк.Псалт.	Брун.Толк.Псалт.	97
Брун.Толк. Псалт.	Брун.Толк.Псалт.	97
Брун.Толк.Псалт.	Брун.Толк.Псалт.	100
Брунцвик	Брунцвик	100
Булав. восст.	Булав.восст.	96
Бурнашев	no match	probability was too low
Бусл.	no match	probability was too low
Бусл. Мат.	Бусл.Мат.	95
Бусл. Хрест.	no match	probability was too low
Бусл. Христ.	Бусл.Христ.	95
Бусл.Мат.	Бусл.Мат.	100
Бусл.Христ.	Бусл.Христ.	100
Был.	Был.	100
Быт.	no match	probability was too low
Быт. I, 29	no match	probability was too low
Быт. II, 5	no match	probability was too low
Быт. XL, 11	no match	probability was too low
Быт. XLI, 6	no match	probability was too low
Быт. XLI, 8	no match	probability was too low
Быт. XLIV, 5	no match	probability was too low
Быт. XXI, 12	no match	probability was too low
Быт. XXIX, 17	no match	probability was too low
Быт. XXX, 15	no match	probability was too low
Быт. XXXII. 31	no match	probability was too low
В 21 день. Были въ мошкар?. Пох. журн.	no match	probability was too low
В. А.	В.А.	95
В. Чел. Ник. Пустосв.	В.чел.Ник.Пустосв.	95
В. чел. Ник. Пустосв.	В.чел.Ник.Пустосв.	95
В.А.	В.А.	100
В.Чел.Ник.Пустосв.	В.чел.Ник.Пустосв.	100
В.чел. Ник.Пустосв.	В.чел.Ник.Пустосв.	97
В.чел.Ник.Пустосв.	В.чел.Ник.Пустосв.	100
ВМЧ	no match	probability was too low
ВМЧ Окт.1-3	ВМЧ, Окт. 1–3	95
ВМЧ, Anp. 22—30	no match	probability was too low
ВМЧ, Апр. 1-8	ВМЧ, Апр. 1–8	100
ВМЧ, Апр. 22- 30	ВМЧ, Апр. 22–30	97
ВМЧ, Апр. 22-30	ВМЧ, Апр. 22–30	100
ВМЧ, Апр. 8-21	ВМЧ, Апр. 8–21	100
ВМЧ, Апр.22-30	ВМЧ, Апр. 22–30	97
ВМЧ, Дек. 1-5	ВМЧ, Дек.1–5	96
ВМЧ, Дек. 24	ВМЧ, Дек. 24	100
ВМЧ, Дек. 31	ВМЧ, Дек. 31	100
ВМЧ, Дек. 6-17	ВМЧ, Дек. 6–17	100
ВМЧ, Дек.1-5	ВМЧ, Дек.1–5	100
ВМЧ, Дек.6-17	ВМЧ, Дек. 6–17	96
ВМЧ, Ноябрь 13-15	ВМЧ, Ноябрь 13–15	100
ВМЧ, Ноябрь 1315	ВМЧ, Ноябрь 13–15	97
ВМЧ, Ноябрь 13— 15	ВМЧ, Ноябрь 13–15	97
ВМЧ, Ноябрь 13—15	ВМЧ, Ноябрь 13–15	100
ВМЧ, Ноябрь 16	ВМЧ, Ноябрь 16	100
ВМЧ, Ноябрь, 13-15	ВМЧ, Ноябрь 13–15	97
ВМЧ, Ноябрь, 16	ВМЧ, Ноябрь 16	97
ВМЧ, Окт. 1-3	ВМЧ, Окт. 1–3	100
ВМЧ, Окт. 19-31	ВМЧ, Окт. 19–31	100
ВМЧ, Окт. 4-18	ВМЧ, Окт. 4–18	100
ВМЧ, Окт.1-3	ВМЧ, Окт. 1–3	96
ВМЧ, Окт.19-31	ВМЧ, Окт. 19–31	97
ВМЧ, Октябрь 1931	no match	probability was too low
ВМЧ, Сент. 1-13	ВМЧ, Сент. 1–13	100
ВМЧ, Сент. 14-24	ВМЧ, Сент. 14–24	100
ВМЧ, Сент.1-13	ВМЧ, Сент. 1–13	97
ВМЧ, Сент.14-24	ВМЧ, Сент. 14–24	97
ВМЧ, Сентябрь 1-13	no match	probability was too low
ВМЧ,, Дек. 24	ВМЧ, Дек. 24	96
ВМЧ.	no match	probability was too low
ВМЧ. Ноябрь 13-15	ВМЧ, Ноябрь 13–15	100
Важ. порядн.	Важ.порядн.	95
Вал. п. кн.	Вал.п.кн.	95
Вальд.	no match	probability was too low
Вар. по сп.	no match	probability was too low
Варах.	no match	probability was too low
Варл. Хут.	Варл.Хут.	95
Варл.Хут.	Варл.Хут.	100
Варлаам	no match	probability was too low
Варлаам и Иоасаф	Варлаам и Иоасаф1	97
Варлаам и Иоасаф 1	Варлаам и Иоасаф1	97
Варлаам и Иоасаф,1	Варлаам и Иоасаф1	97
Варлаам и Иоасаф.1	Варлаам и Иоасаф1	97
Варлаам и Иоасаф1	Варлаам и Иоасаф1	100
Варлаам и Иоасаф1.	Варлаам и Иоасаф1	100
Варлаам и Иосаф	Варлаам и Иоасаф1	94
Варлаам и Иосаф1	Варлаам и Иоасаф1	97
Варлаамъ и Иоасаф	Варлаам и Иоасаф1	94
Варлам и Иоасаф1	Варлаам и Иоасаф1	97
Вас. Вел.	Лит.Вас.Вел.	95
Вас. Вел. Толк. Пс.	no match	probability was too low
Вас. Вел. кан.	no match	probability was too low
Вас. Вел. толк. пс.	no match	probability was too low
Вас. Ив.	Пис.Вас.Ив.	95
Вас. Шуйск.	no match	probability was too low
Вас.Вел. к Лит.	Вас.Вел. к Лит.	100
Васс. Патр.	Васс.Патр.1	95
Васс. Патр. 1	Васс.Патр.1	95
Васс. Патр.1	Васс.Патр.1	96
Васс.Патр.1	Васс.Патр.1	100
Вдовицамъ же велить второму браку причитатися.	no match	probability was too low
Вед. Ман. Христ.	Вед.Ман.Христ.	95
Вед. о Кит. зем.	Вед. о Кит.зем.	97
Вед. о Кит.зем.	Вед. о Кит.зем.	100
Вел. Зерц.	Вел.зерц.	95
Вел. Зерц.1	Вел.зерц.	95
Вел. Зерц.2	Вел.зерц.	95
Вел. Зерц.3	Вел.зерц.	95
Вел. Зерц1	no match	probability was too low
Вел. Зерц1.	no match	probability was too low
Вел. зерц.1	Вел.зерц.	95
Вел. зерц.2	Вел.зерц.	95
Вел. зерц.3	Вел.зерц.	95
Вел.Зерц.1	Вел.зерц.1	100
Вел.Зерц.3	Вел.зерц.3	100
Вел.зерц.1	Вел.зерц.1	100
Вел.зерц.3	Вел.зерц.3	100
Вельтман	Вельтман	100
Вер. кн.	Вер.кн. I	95
Вер.кн.	no match	probability was too low
Верх. кн.	no match	probability was too low
Виск. (прил.)	no match	probability was too low
Вкл. Ант.	Ант.Вкл.	95
Вкл. Ипат.	Вкл.Ипат.	95
Вкл. Кир.-Б. м.	Вкл.Кир.-Б.м.	95
Вкл. Коряж.	Вкл.Коряж.	95
Вкл. Нижегор.	Вкл.Нижегор.	96
Вкл. Новоспасск.	Вкл.Новоспасск.	97
Вкл. Серп.	Вкл.Серп.	95
Вкл. Солов.	Вкл.Солов.	95
Вкл. Тр.	Вкл.Тр.	95
Вкл. гр. Дм. Ольг. Лавр. м.	Вкл.гр.Дм.Ольг.Лавр.м.	95
Вкл.Ант.	Вкл.Ант.	100
Вкл.Нижегор.	Вкл.Нижегор.	100
Вкл.Серп.	Вкл.Серп.	100
Влад. сб.	Влад.сб.	95
Влад.пам.	Пам.Влад.	95
Влад.сб.	Влад.сб.	100
Влх. Словарь	Влх.Словарь	96
Влх. Словарь.	Влх.Словарь	96
Влх. словарь	Влх.Словарь	96
Влх.Словарь	Влх.Словарь	100
Воcт.	no match	probability was too low
Воет.	no match	probability was too low
Возвещение	Возвещение	100
Воин. кн.	Воин.кн.	95
Воинск. кн.	no match	probability was too low
Вол. Пат.1	Вол.Пат.1	95
Вол. Пат.2	Вол.Пат.2	95
Вол.- Перм. лет.	Вол.-Перм.лет.	95
Вол.-Перм. лет.	Вол.-Перм.лет.	96
Вол.Пат.1	Вол.Пат.1	100
Волог.	Волог.	100
Волог. письм.	Волог.письм.	96
Волог. сб.	Волог.сб.	95
Волог. хрест.	Волог.хрест.	96
Волог.- Перм. лет.	Волог.-Перм.лет.	95
